country_code,latitude,longitude,sum_sports,decathlon_id,sports_api_id,groups_id
CA,45.6602,-73.8157,2,288,288,14
CA,43.2001,-79.5663,1,310,134,20
CA,43.08,-81.3821,1,178,270,17
CA,45.8232,-73.4294,13,287,262,14
CA,45.4001,-74.0325,4,76,76,3
CA,45.4001,-74.0325,1,305,134,20
CA,46.0001,-74.1825,1,322,322,25
CA,46.0001,-74.1825,1,321,322,25
CA,45.5,-73.4833,8,291,351,15
CA,45.5,-73.4833,2,459,279,9
CA,45.5,-73.4833,6,96,96,18
CA,45.5,-73.4833,10,471,322,25
CA,46.0206,-73.1439,3,287,262,14
CA,46.0365,-73.0665,1,134,134,20
CA,45.4334,-73.1659,6,286,286,14
CA,45.5069,-73.8407,15,458,147,9
CA,45.5069,-73.8407,6,12,257,2
CA,45.5084,-73.8075,1,395,522,2
CA,45.4334,-73.8659,2,253,253,24
CA,46.0987,-64.8036,1,300,593,8
CA,46.0987,-64.8036,1,296,593,8
CA,46.0987,-64.8036,1,425,109,15
CA,43.8582,-79.3985,8,143,143,20
CA,43.9394,-79.4349,2,139,134,20
CA,43.9394,-79.4349,2,66,66,22
CA,43.7592,-79.7605,9,285,285,11
CA,43.6665,-79.8054,2,12,257,2
CA,46.9804,-70.5549,1,285,285,11
CA,46.316,-72.6833,4,178,270,17
CA,46.3695,-72.6789,4,253,253,24
CA,46.3267,-73.6392,1,96,96,18
CA,45.6,-73.5333,1,93,93,20
CA,48.9156,-57.797,1,280,257,2
CA,46.7,-71.5833,1,449,391,29
CA,48.5548,-71.673,1,286,286,14
CA,45.8501,-73.4825,2,404,404,19
CA,45.8501,-73.4825,3,253,253,24
CA,45.8501,-73.4825,2,288,288,14
CA,46.5558,-72.7437,2,160,160,21
CA,45.6383,-73.7975,5,178,270,17
CA,45.6383,-73.7975,1,300,593,8
CA,46.8033,-71.1779,3,96,96,18
CA,46.8033,-71.1779,1,313,20,11
CA,62.456,-114.3525,1,156,268,22
CA,42.5667,-81.6833,1,224,224,1
CA,42.5667,-81.6833,1,12,257,2
CA,45.4643,-73.5698,9,219,219,1
CA,45.4459,-73.5815,9,286,286,14
CA,45.5946,-73.2283,6,37,37,9
CA,45.5946,-73.2283,1,100,100,12
CA,53.4567,-113.5801,11,288,288,14
CA,53.5366,-113.5103,1,224,224,1
CA,53.55,-113.5,1,81,81,16
CA,53.6313,-113.5245,1,300,593,8
CA,53.6313,-113.5245,1,297,593,8
CA,45.578,-73.8004,4,316,273,9
CA,45.6739,-73.5924,3,334,279,9
CA,45.5984,-73.7159,16,286,286,14
CA,45.6409,-73.7542,2,287,262,14
CA,45.5526,-73.8507,1,134,134,20
CA,45.5501,-73.6992,1,323,323,25
CA,45.5334,-73.8159,1,89,89,16
CA,45.5573,-73.7725,1,166,166,21
CA,45.7788,-73.9829,1,166,166,21
CA,45.4414,-73.7749,1,499,598,8
CA,47.9256,-69.0981,1,286,286,14
CA,45.3059,-74.3049,8,66,66,22
CA,48.2855,-78.8234,2,449,391,29
CA,48.1607,-79.0714,2,37,37,9
CA,48.1607,-79.0714,1,443,627,9
CA,43.4715,-80.5454,1,250,250,
CA,46.034,-73.441,39,458,147,9
CA,48.3398,-70.8893,6,66,66,22
CA,45.4455,-73.4841,35,458,147,9
CA,45.4674,-73.4832,3,250,250,
CA,45.4424,-73.4231,8,66,66,22
CA,44.9988,-64.7312,2,282,282,11
CA,45.3168,-73.8659,1,395,522,2
CA,45.1665,-73.5239,1,449,391,29
CA,43.8721,-78.9273,1,81,81,16
CA,45.591,-73.4361,4,104,428,12
CA,45.591,-73.4361,19,224,224,1
CA,45.591,-73.4361,7,74,74,3
CA,45.591,-73.4361,3,305,134,20
CA,45.591,-73.4361,1,329,329,28
CA,45.2691,-75.7518,3,287,262,14
CA,45.3805,-75.7636,1,321,322,25
CA,45.4519,-75.6036,3,283,282,11
CA,45.3211,-75.7391,2,104,428,12
CA,45.4289,-75.6844,1,332,279,9
CA,49.8966,-97.2404,1,333,279,9
CA,45.1264,-72.9868,2,318,318,10
CA,45.7395,-73.4588,1,76,76,3
CA,45.7395,-73.4588,3,321,322,25
CA,52.157,-106.5614,2,461,257,2
CA,53.3,-60.3,1,443,627,9
CA,48.5669,-78.1162,5,443,627,9
CA,47.8184,-69.1505,25,321,322,25
CA,45.5362,-73.4721,23,224,224,1
CA,45.5362,-73.4721,7,292,292,30
CA,45.5181,-73.4576,21,78,78,18
CA,45.5181,-73.4576,3,301,593,8
CA,45.5362,-73.4721,12,12,257,2
