Name1,Name2,Name3,Name4
Basketball,Basket-ball,Basket-ball,
3x3 basketball,Basket-ball à trois,Basket-ball à trois,
Beach Basketball,Beach basket-ball,Beach basket-ball,
Deaf Basketball,Basket-ball sourd,Basket-ball sourd,
Rezball,Rezball,Rezball,
Streetball,Streetball,Streetball,
Water Basketball,Water basket-ball,Water basket-ball,
Wheelchair Basketball,Basket fauteuil,Basket fauteuil,
Slamball,Slamball,Slamball,
Netball,Netball,Netball,
Fast5 Netball,Netball Fast5,Netball Fast5,
Indoor Netball,Netball intérieur,Netball intérieur,
Wheelchair Netball,Netball en fauteuil roulant,Netball en fauteuil roulant,
Korfball,Korfbal,Korfbal,
Cestoball,Cestoball,Cestoball,
Ringball,Ringball,Ringball,
Handball,Handball,Handball,
Beach handball,Beach handball,Beach handball,
Czech handball,Handball tchèque,Handball tchèque,
Field handball,Handball à onze,Handball à onze,"Outdoor handball, grass handball"
Stick and ball sports,,,
Hockey,Hockey,Hockey,
Ball hockey,Hockey cosom,Hockey cosom,
Ice hockey,Hockey sur glace,Hockey sur glace,
Field hockey,Hockey sur gazon,Hockey sur gazon,
Bandy,Bandy,Hockey russe,
Floor hockey,Hockey au sol,Hockey au sol,
Unicycle hockey,Hockey sur monocycle,Hockey sur monocycle,
Inline hockey,Roller in line hockey,Roller in line hockey,
Roller hockey,Roller hockey,Roller hockey,
Street Hockey,Street-hockey,Street-hockey,
Floorball,Floorball,Floorball,
Sledge hockey,Hockey sur luge,Hockey sur luge,Para ice hockey
Ringette,Ringuette,Ringuette,
Underwater hockey,Hockey subaquatique,Hockey subaquatique,Octopush
Lacrosse,Lacrosse,Lacrosse,
Box lacrosse,Crosse en salle,Crosse en enclos,"boxla, box, indoor lacrosse"
Field lacrosse,Lacrosse en champ,Lacrosse en champ,
Intercrosse,Intercrosse,Intercrosse,"soft stick lacrosse, softcrosse, modcrosse, pop lacrosse"
Women's lacrosse,Crosse féminine,Crosse féminine,Wlax
Racquet-and-Net sports,,,
Badminton,Badminton,Badminton,
Ball badminton,Ball badminton,Ball badminton,
Speed badminton,Speed badminton,Speed badminton,
Padel,Padel,Padel,
Peteca,Pétéca,Pétéca,
Racquetball,Racquetball,Racquetball,
Squash,Squash,Squash,
Tennis,Tennis,Tennis,
Beach tennis,Tennis de plage,Tennis de plage,
Football tennis,Tennis-ballon,Tennis-ballon,futnet
Frescobol,Frescobol,Frescobol,
Frontenis,Pelote basque,Pelote basque,
Matkot,Frescobol,Frescobol,
Pickleball,Pickleball,Pickleball,
Table tennis,Tennis de table,Tennis de table,ping-pong
Speedball,Speed-ball,Speed-ball,
Footvolley,Footvolley,Footvolley,
Bossaball,Bossaball,Bossaball,
Footbag net,Footbag ,Footbag ,
Jokgu,Jokgu,Jokgu,Korean-style Sepak takraw
Sepak takraw,Sepak takraw,Sepak takraw,
Volleyball,Volleyball,Volleyball,
Beach volleyball,Volleyball de plage,Volleyball de plage,
Biribol,Biribol,Biribol,
Fistball,Fistball,Fistball,
Newcomb ball,Newcomb,Newcomb,
Paralympic volleyball,Volley-ball handisport,Volley-ball handisport,Sitting volleyball
Throwball,Throwball,Throwball,
Skating Sports,,,
Ice skating,Patin à glace,Patin à glace,
Figure skating,Patinage artistique,Patinage artistique,
Short track speed skating,Patinage de vitesse courte piste,Short-track,
Long track speed skating,Patinage de vitesse longue piste,Patinage de vitesse longue piste,Speed skating
Inline skating,Patin à roues alignées,Patin à roues alignées,
Fitness inline skating,Roller de mise en forme,Roller de mise en forme,
Vert skating,Roller acrobatique,Slalom roller,Freestyle slalom skating
Aggressive inline skating,Roller agressif,Roller agressif,
Inline speed skating,Roller de vitesse,Roller de vitesse,
Roller skating,Patinage à roulettes,Roller,
Roller derby,Roller derby,Roller derby,
Artistic roller skating,Patinage artistique sur roulettes,Patinage artistique sur roulettes,
Skiing Sports ,,,
Skiing,Ski,Ski,
Freeride skiing,Ski hors piste,Ski hors piste,
Downhill skiing,Ski alpin,Ski alpin,
Extreme skiing,Ski extrême,Ski extrême,
Giant slalom,Slalom géant,Slalom géant,
Glade skiing,Ski en sous-bois,Ski en sous-bois,Glading
Grass skiing,Ski sur herbe,Ski sur herbe,
Para-alpine skiing,Ski alpin handisport,Ski alpin handisport,
Slalom,Slalom,Slalom,Slalom skiing
Speed skiing,Ski de vitesse,Ski de vitesse,
Super-G,Super-G,Super-G,Super giant slalom
Biathlon,Biathlon,Biathlon,
Freestyle skiing,Ski acrobatique,Ski acrobatique,
Aerial skiing ,Saut acrobatique,Saut acrobatique,
Big air,Big air,Big air,
Half-pipe skiing,Ski sur rampe,Ski sur rampe,
Mogul,Ski de bosses,Ski de bosses,Mogul skiing
Ski ballet,Ballet de ski,Ballet de ski,
Ski cross,Skicross,Skicross,
Skiboarding,Patinette,Patinette,
Slopestyle,Slopestyle,Slopestyle,Skiing slopestyle
Nordic skiing,Ski nordique,Ski nordique,
Cross-country skiing,Ski de fond,Ski de fond,
Paralympic cross-country skiing,Ski de fond paralympique,Ski de fond paralympique,
Roller skiing,Ski à roulettes,Ski à roulettes,
Ski jumping,Saut à ski,Saut à ski,
